Yil,Bolge,Satis_Adedi,Satilik_Ort_m2,Satilik_m2_Fiyati_TL,Satilik_Ev_Fiyati_TL,Kiralanan_Ev_Sayisi_Tahmini,Kiralik_Ort_m2,Kiralik_m2_Fiyati_TL,Kiralik_Ev_Fiyati_TL,Veri_Tipi
2022,Türkiye,1485622,120,16700,2004000,445000,115,65,7475,Gerçekleşen (TÜİK/TCMB)
2023,Türkiye,1225926,120,25000,3000000,380000,115,110,12650,Gerçekleşen (TÜİK/TCMB)
2024,Türkiye,1478025,115,36061,4147015,450000,110,190,20900,Gerçekleşen (TÜİK/TCMB)
2025,Türkiye,1688910,115,45447,5226405,520000,110,240,26400,Gerçekleşen (TÜİK/TCMB)
2026,Türkiye,1750000,110,54500,5995000,550000,105,280,29400,Projeksiyon
2027,Türkiye,1820000,110,65000,7150000,575000,105,340,35700,Projeksiyon
2028,Türkiye,1890000,105,76500,8032500,600000,100,400,40000,Projeksiyon
2029,Türkiye,1950000,105,88000,9240000,625000,100,460,46000,Projeksiyon
2030,Türkiye,2050000,100,100000,10000000,660000,95,530,50350,Projeksiyon
2022,İstanbul,259654,110,28400,3124000,130000,100,105,10500,Gerçekleşen (TÜİK/TCMB)
2023,İstanbul,198739,110,48800,5368000,110000,100,175,17500,Gerçekleşen (TÜİK/TCMB)
2024,İstanbul,240000,105,55503,5827815,125000,95,280,26600,Gerçekleşen (TÜİK/TCMB)
2025,İstanbul,285000,105,74101,7780605,145000,95,350,33250,Gerçekleşen (TÜİK/TCMB)
2026,İstanbul,300000,100,87153,8715300,155000,90,410,36900,Projeksiyon
2027,İstanbul,315000,100,102000,10200000,165000,90,490,44100,Projeksiyon
2028,İstanbul,330000,95,118000,11210000,175000,85,570,48450,Projeksiyon
2029,İstanbul,345000,95,134000,12730000,185000,85,650,55250,Projeksiyon
2030,İstanbul,365000,90,148000,13320000,200000,80,730,58400,Projeksiyon
2022,Ankara,126166,130,12500,1625000,45000,125,45,5625,Gerçekleşen (TÜİK/TCMB)
2023,Ankara,114432,130,23400,3042000,40000,125,85,10625,Gerçekleşen (TÜİK/TCMB)
2024,Ankara,135000,125,29764,3720500,52000,120,150,18000,Gerçekleşen (TÜİK/TCMB)
2025,Ankara,160000,125,41281,5160125,60000,120,200,24000,Gerçekleşen (TÜİK/TCMB)
2026,Ankara,168000,120,47263,7940760,65000,115,240,27600,Projeksiyon
2027,Ankara,178000,120,58000,6960000,70000,115,290,33350,Projeksiyon
2028,Ankara,188000,115,69500,7992500,75000,110,345,37950,Projeksiyon
2029,Ankara,198000,115,80000,9200000,80000,110,405,44550,Projeksiyon
2030,Ankara,210000,110,90500,9955000,88000,105,470,49350,Projeksiyon
2022,İzmir,83502,115,19000,2185000,35000,110,75,8250,Gerçekleşen (TÜİK/TCMB)
2023,İzmir,65465,115,33800,3887000,28000,110,135,14850,Gerçekleşen (TÜİK/TCMB)
2024,İzmir,75000,110,40595,4465450,32000,105,210,22050,Gerçekleşen (TÜİK/TCMB)
2025,İzmir,95000,110,49544,5449840,40000,105,260,27300,Gerçekleşen (TÜİK/TCMB)
2026,İzmir,102000,105,56466,5928930,44000,100,300,30000,Projeksiyon
2027,İzmir,108000,105,68000,7140000,48000,100,360,36000,Projeksiyon
2028,İzmir,115000,100,80500,8050000,52000,95,420,39900,Projeksiyon
2029,İzmir,122000,100,93000,9300000,56000,95,490,46550,Projeksiyon
2030,İzmir,130000,95,106000,10070000,60000,90,560,50400,Projeksiyon
