5 Yıllık Finansal Gelir ve Gider Projeksiyonları Hedefli,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
,,,,,,
Finansal Göstergeler (TL & USD),Metodoloji / Referans,2026 (Yıl 1),2027 (Yıl 2),2028 (Yıl 3),2029 (Yıl 4),2030 (Yıl 5)
OPERASYONEL METRİKLER,,,,,,
Başarılı Satış İşlemi Adedi (Konut),Dinamik Senaryo Seçici,400,2093.35,4822.85125,13505.9578125,21447.329648437502
Ortalama Konut Değeri (TL),Varsayımlar B7 | B8 Artış,6100000,7014999.999999999,8067249.999999998,9277337.499999996,10668938.124999994
Toplam Platform İşlem Hacmi (TL),İşlem Adedi * Ortalama Fiyat,2440000000,14684850249.999998,38907146746.56249,125299328887.32417,228820232965.6576
GELİR TABLOSU (TL),,,,,,
Satış Komisyonu Geliri (TL) - %2,İşlem Hacmi * Komisyon Oranı (%2),48800000,293697004.99999994,778142934.9312499,2505986577.7464833,4576404659.313152
Kiralama Komisyonu Geliri (TL) - (Kira Bedeli vb.),Satış Gelirinin %35'i,17080000,102793951.74999997,272350027.2259374,877095302.2112691,1601741630.7596033
Premium Hizmetler ve İlan Öne Çıkarma (TL),Satış Gelirinin %5'u,2440000,14684850.249999998,38907146.746562496,125299328.88732417,228820232.96565762
Veri Analitiği ve Geliştirici Raporlama Abonelikleri (TL),Satış Gelirinin %1'i,488000,2936970.0499999993,7781429.349312499,25059865.777464833,45764046.59313153
Toplam Brüt Gelir (TL),Gelir Kalemleri Toplamı,68808000,414112777.0499999,1097181538.2530622,3533441074.6225414,6452730569.631544
Toplam Brüt Gelir (USD),TL Ciro / Dolar Kuru,1433500,8627349.521874998,22857948.713605464,73613355.72130294,134431886.86732385
FAALİYET GİDERLERİ (TL),,,,,,
'Ev Getir Kazan' Satıcı Teşvik Giderleri (TL),Satış Komisyonu * %15 (Teşvik),7320000,44054550.74999999,116721440.23968747,375897986.66197246,686460698.8969728
Pazarlama ve Dijital Reklam Giderleri (TL),Y1 Yatırımın %60'ı | Sonra %15 Ciro,10080000,62116916.55749998,164577230.73795933,530016161.1933812,967909585.4447316
Yazılım Bakım ve Sunucu Giderleri (TL),Y1 %10 Fon | Sonra %15 Artış,1680000,1931999.9999999998,2221799.9999999995,2555069.999999999,2938330.4999999986
Ekipman Amortismanı ve Çekim Giderleri (TL),Y1 %20 Fon | Sonra %10 Artış,3360000,3696000.0000000005,4065600.000000001,4472160.000000001,4919376.000000002
Personel ve Ekip Maaş Giderleri (TL),Y1: 5 Pers. | Y5: 20 Pers. Planı,2100000,3840000,6912000,12528000,21000000
Genel Yönetim ve Kurumsal Giderler (TL),Y1 %10 Fon | Sonra %10 Artış,1680000,1848000.0000000002,2032800.0000000005,2236080.0000000005,2459688.000000001
Toplam Faaliyet Giderleri (OPEX) (TL),Faaliyet Giderleri Toplamı,26220000,117487467.30749997,296530870.9776468,927705457.8553536,1685687678.8417044
