Coğrafya,Gösterge_ID,Gösterge,Birim,Yıl,Değer,Dönem_Türü,Veri_Türü,Kaynak_ID,Kaynak_URL,Metod_Notu
Türkiye,1,Satılan ev sayısı,adet,2022,1485622.0,Tam yıl,Resmî gerçekleşen,S01,https://veriportali.tuik.gov.tr/Bulten/Index?dil=1&p=Konut-Satis-Istatistikleri-Aralik-2022-49526,
Türkiye,1,Satılan ev sayısı,adet,2023,1225926.0,Tam yıl,Resmî gerçekleşen,S02,https://veriportali.tuik.gov.tr/tr/press/49516,
Türkiye,1,Satılan ev sayısı,adet,2024,1478025.0,Tam yıl,Resmî gerçekleşen,S03,https://veriportali.tuik.gov.tr/tr/press/54146,
Türkiye,1,Satılan ev sayısı,adet,2025,1688910.0,Tam yıl,Resmî gerçekleşen,S04,https://veriportali.tuik.gov.tr/tr/press/58350,
Türkiye,1,Satılan ev sayısı,adet,2026,1596493.5629,2026E,2026E yıllık tahmin,S04;S05,https://veriportali.tuik.gov.tr/tr/press/58350 ; https://veriportali.tuik.gov.tr/tr/press/58339,
Türkiye,1,Satılan ev sayısı,adet,2027,1626952.1923,Tahmin,Tahmin,S05;S28;S29,https://veriportali.tuik.gov.tr/tr/press/58339 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2022-2026 CAGR ile %2 uzun dönem işlem büyümesi harmanlanmıştır.
Türkiye,1,Satılan ev sayısı,adet,2028,1658441.7185,Tahmin,Tahmin,S05;S28;S29,https://veriportali.tuik.gov.tr/tr/press/58339 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2022-2026 CAGR ile %2 uzun dönem işlem büyümesi harmanlanmıştır.
Türkiye,1,Satılan ev sayısı,adet,2029,1690999.221,Tahmin,Tahmin,S05;S28;S29,https://veriportali.tuik.gov.tr/tr/press/58339 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2022-2026 CAGR ile %2 uzun dönem işlem büyümesi harmanlanmıştır.
Türkiye,1,Satılan ev sayısı,adet,2030,1724819.2054,Tahmin,Tahmin,S05;S28;S29,https://veriportali.tuik.gov.tr/tr/press/58339 ; https://tcmb.gov.tr/wps/wcm/connect/tr/tcmb%2Btr/main%2Bmenu/duyurular/baskanin%2Bkonusmalari/2026/konusmab13_08_2026 ; https://www.aa.com.tr/tr/ekonomi/tcmb-baskani-karahan-2026-yil-sonu-enflasyon-tahminimizi-yuzde-28-olarak-yukari-yonlu-guncelledik/4025976,2022-2026 CAGR ile %2 uzun dönem işlem büyümesi harmanlanmıştır.
Türkiye,2,Ortalama satılık konut alanı,m²,2022,130.0,Yıl sonu / rapor dönemi,Türetilmiş,S06,https://www.emlakdream.com/turkiyede-ortalama-bir-ev-fiyati-1-8-milyon-tlye-yukseldi/,
